label_id,pair_id,reviewer_id,shown_swapped,raw_label,rationale,time_ms,rubric_version,labeled_at,source,cluster_id,attention_check_answer
1648ba0a-d3e3-4d1e-8c3a-36bff4bfb53b,6dec58e9-9012-4fb1-bffd-3ae5a15bcdbb,reviewer-a,f,tie,,15643,v1,2026-05-19 19:21:23.286048+00,shadow_pairs:fc73d50b-dd2e-4c53-94b3-9ad30dede95c,cluster-1,
5b722f8e-0039-4638-986e-f3e5113f36a8,a6924b5e-0c51-427a-9c65-2f303172431e,reviewer-a,t,tie,,10353,v1,2026-05-19 19:21:33.754007+00,shadow_pairs:23330c7b-afdd-440a-b07d-26c0087e316a,cluster-1,
5b160044-9736-4fc2-b81d-7321c3c4021f,a6632cd0-4bf1-4d2a-bf5a-12b41ca12297,reviewer-a,t,tie,,9063,v1,2026-05-19 19:21:42.882149+00,shadow_pairs:a41e6b40-99b3-48cb-ba4f-a3ec2682d48a,cluster-1,
95a2c177-4e0a-435d-8368-4410c5db78bb,8264c9cc-5ee0-4748-aaca-ad26a93d7da2,reviewer-a,t,tie,,10326,v1,2026-05-19 19:21:53.342401+00,shadow_pairs:a4e6348e-c5c1-4293-b025-53e19191e17b,cluster-1,
51f73c9b-59a6-474e-8204-da0b961a4234,5599bcb4-9b75-4688-9e93-c6df890d2620,reviewer-a,t,b,,9199,v1,2026-05-19 19:22:02.637422+00,shadow_pairs:69b55dbd-b958-4ac3-8d22-ebd37a7737c4,cluster-1,
82d1be48-f348-4abb-87ef-6eeae8a64cff,14a9b9c6-0a1e-4ca4-a0c0-86ba623c3a48,reviewer-a,f,b,,5211,v1,2026-05-19 19:22:07.961253+00,shadow_pairs:7bd4c7e5-127d-47f8-a7d1-ee729bb25fab,cluster-2,
15f986b3-f78a-4b88-b61a-16dcc9954280,8ef444da-077e-40c6-b8a1-ff8ee404704b,reviewer-a,f,b,,6114,v1,2026-05-19 19:22:14.145556+00,shadow_pairs:0fc485cd-23a0-4193-9834-8f68db03603d,cluster-2,
0704261e-5943-4cc5-8077-6a3e3491b64b,3a7092cf-29dd-401c-966b-4fc0f51b678b,reviewer-a,f,b,,20707,v1,2026-05-19 19:22:34.952302+00,shadow_pairs:4ab9c7ab-5bda-4b6e-af3e-7d4acdc91cf5,cluster-2,
63365457-b991-4007-b942-0be98295ccef,d7737ecd-b6de-4829-8318-9394d009b4a0,reviewer-a,f,a,,24636,v1,2026-05-19 19:22:59.720584+00,shadow_pairs:f74e0274-2730-43f5-9401-f5acdd5d0f0f,cluster-2,
7b602777-94d6-459a-aafa-9f7c33148d9c,3a710d5d-47fe-4bfa-a39b-00d72b5f6c47,reviewer-a,f,a,,17733,v1,2026-05-19 19:23:17.550037+00,shadow_pairs:c75811cc-feb6-47f7-9602-6c3bb2e3b1f1,cluster-2,
46483ca3-e978-41c4-aaae-7202f385f08d,68c2fefb-4f58-4d9b-8e84-4c9091fddca0,reviewer-a,t,a,,16415,v1,2026-05-19 19:23:34.02832+00,shadow_pairs:01a2cfef-be50-4d5f-836a-6422f1020722,cluster-2,
4a7a08dc-81df-4fb3-bad0-a12a29ba87ca,c953f573-5918-45ad-907e-dc50f2ec96bb,reviewer-a,t,tie,,17406,v1,2026-05-19 19:23:51.56498+00,shadow_pairs:1d98c7c5-3ff2-4ac8-a62a-7fb2de2baaa7,cluster-2,
a51e8bfa-df38-42ce-a88b-1354c4ea0518,9ae628cb-44b3-4b96-9e1e-147f4ccbea84,reviewer-a,t,a,,17331,v1,2026-05-19 19:24:09.00259+00,shadow_pairs:b017ab1f-6d45-4f9f-b3f0-dd286eb986de,cluster-3,
34c1e651-6f66-4cab-b0c8-4ff73f93e97b,1960a15b-d2f1-4d87-80b6-d0259d119938,reviewer-a,t,b,,11996,v1,2026-05-19 19:24:21.105406+00,shadow_pairs:3989fd9d-bb35-48e9-b1d8-e58501f7da8e,cluster-3,
9dbfcfbf-3921-4124-9a39-ec9cd7b145cb,9330bb6c-6cbb-4c60-86e6-afbde280aa82,reviewer-a,t,tie,,9692,v1,2026-05-19 19:24:30.914694+00,shadow_pairs:c9048dd8-241c-4760-b1f2-4757ddad6e45,cluster-3,
9d869ef5-1d94-49a1-baa9-110a79dbe434,76979973-8434-4058-acf4-496f8093c153,reviewer-a,f,b,,11645,v1,2026-05-19 19:24:42.661299+00,shadow_pairs:5fde8b4a-8e28-4484-9811-e994286c32db,cluster-3,
31f72ba4-8106-42e9-bc18-bfcd97909ef9,e6527c71-a7dd-4bca-8312-c117a90af4f4,reviewer-a,f,a,,10518,v1,2026-05-19 19:24:53.353602+00,shadow_pairs:1c2cb879-ac4b-4f80-be01-558af98eb029,cluster-3,
db69d56e-31cc-4110-96cd-adb92ce59313,55f534ba-b894-49b3-81f6-a0d63618387d,reviewer-a,t,a,,17220,v1,2026-05-19 19:25:10.728451+00,shadow_pairs:bc5d5535-6e0f-49f2-93cf-c75380f710dd,cluster-1,
b2fa16df-8672-45c0-91f0-417d0fdde308,308437c6-e6c6-4dab-9006-2df301b133e5,reviewer-a,f,a,,10444,v1,2026-05-19 19:25:21.256643+00,shadow_pairs:26c4e68c-6d69-4715-a7c7-5a80e90c3267,cluster-1,
cc9c2a74-4c3f-447c-9608-4cc97baf29b7,bfe1c5ce-70c0-442e-b941-43e9ca8ef5f5,reviewer-a,t,tie,,9415,v1,2026-05-19 19:25:30.734454+00,shadow_pairs:1b481ea0-7cc6-42ac-9d4c-fad8f10acf67,cluster-0,
cbcbcf89-f434-410b-971d-7f097bdddeaa,de66875c-afe0-4ac2-acff-2cc962ffaf00,reviewer-a,t,a,,3838,v1,2026-05-19 19:25:34.678364+00,attention_check:b_wins_clear,attention,b
ea862831-1e8f-4c48-ad9c-a74150bf3c16,f1d9509c-5268-4009-b120-b7d3de88d669,reviewer-a,f,a,,3139,v1,2026-05-19 19:25:37.951819+00,attention_check:a_wins_clear,attention,a
2c07a462-7405-4dec-885a-81d6c0d380e9,ad7990a8-5bd7-441d-bea4-47a4b414a9ef,reviewer-b,f,b,,44169,v1,2026-05-19 20:18:10.302041+00,shadow_pairs:9ccf3a93-44ad-45e7-8a3b-51cda07ae803,cluster-0,
c5ba07b8-82a6-4547-92e6-f77f40396267,81caf6bf-5f0e-4ddd-a79c-1536c7479aa3,reviewer-b,t,a,,41604,v1,2026-05-19 20:18:52.095568+00,shadow_pairs:e6b46a1b-d48f-4ac9-92f1-5e13a56768d7,cluster-0,
6c6666cb-4b70-4d78-905c-0637cea44a3e,9e9ee9ad-181c-4377-bc9b-eadd04cafaf8,reviewer-b,t,tie,,9498,v1,2026-05-19 20:19:01.716489+00,shadow_pairs:2025d202-299d-458d-bd06-ae6338e51724,cluster-0,
90f6ed61-463b-4e06-838d-fd04933cd0b7,973a9ea5-c7a6-42e5-b994-0db8dd260ba1,reviewer-b,f,b,,10187,v1,2026-05-19 20:19:11.962013+00,shadow_pairs:31a2bd59-1d14-4535-8f31-16c83221510c,cluster-0,
4436c965-d8a6-4800-b2c2-a8906c16d087,bd1e3192-b9e7-4acb-af15-5ebd60e92570,reviewer-b,t,tie,,4611,v1,2026-05-19 20:19:16.64195+00,shadow_pairs:91151820-0cb3-4594-9a65-bba00979373b,cluster-0,
f657a440-21fa-495d-8e1c-b13a35cde605,da02a8d5-9024-4362-96fa-a8514effcf72,reviewer-b,t,b,,15007,v1,2026-05-19 20:19:31.743774+00,shadow_pairs:c3b11d14-3f8e-41d9-9bbb-081b76a5087d,cluster-0,
900d99c4-14c7-4822-9f60-82d2d808bdb3,a574cec3-3a05-4ac2-a725-315a9e22ada5,reviewer-b,t,b,,66831,v1,2026-05-19 20:20:38.723525+00,shadow_pairs:5a99c9d5-000c-475e-a5af-78e317cabb64,cluster-0,
0dd2745e-7f02-4f1c-bd34-caea34444ce3,91401fb6-9dad-4c2d-a729-ed97327bc228,reviewer-b,f,b,,25468,v1,2026-05-19 20:21:04.279127+00,shadow_pairs:d9fa691c-f4cd-4489-bfd8-fb3b358524cf,cluster-1,
fd1dc3e1-4e0c-4ab0-a43b-e9d32936b636,ecec74af-10e7-40c6-bc29-09e69c5576ba,reviewer-b,f,tie,,17402,v1,2026-05-19 20:21:21.784904+00,shadow_pairs:0095575d-12c1-413b-b604-e787d0aa7aae,cluster-3,
5cf024de-b0a4-4f2e-bf3e-0cb546096d1d,8db82d8e-e548-49ec-9a5b-378d29d53662,reviewer-b,t,a,,23971,v1,2026-05-19 20:21:45.858141+00,shadow_pairs:36ccf336-10d8-4aab-bbae-d7256a165382,cluster-1,
4a0cf2bc-9956-4ed7-a38c-f3e310d40a0d,6dec58e9-9012-4fb1-bffd-3ae5a15bcdbb,reviewer-b,t,b,,37139,v1,2026-05-19 20:22:23.132589+00,shadow_pairs:fc73d50b-dd2e-4c53-94b3-9ad30dede95c,cluster-1,
923cb56f-deb9-4c0f-9070-2311951c1310,a6924b5e-0c51-427a-9c65-2f303172431e,reviewer-b,t,b,,37723,v1,2026-05-19 20:23:00.95576+00,shadow_pairs:23330c7b-afdd-440a-b07d-26c0087e316a,cluster-1,
6f09b8bd-fda9-4690-bb06-571367521e48,a6632cd0-4bf1-4d2a-bf5a-12b41ca12297,reviewer-b,f,b,,14055,v1,2026-05-19 20:23:15.125737+00,shadow_pairs:a41e6b40-99b3-48cb-ba4f-a3ec2682d48a,cluster-1,
4052c882-c092-4419-a5b9-afc25a844ca3,8264c9cc-5ee0-4748-aaca-ad26a93d7da2,reviewer-b,t,a,,10437,v1,2026-05-19 20:23:25.734615+00,shadow_pairs:a4e6348e-c5c1-4293-b025-53e19191e17b,cluster-1,
58042de7-54cf-4f6a-b817-df5abc6824ae,5599bcb4-9b75-4688-9e93-c6df890d2620,reviewer-b,f,b,,15753,v1,2026-05-19 20:23:41.554406+00,shadow_pairs:69b55dbd-b958-4ac3-8d22-ebd37a7737c4,cluster-1,
2cc00b9a-ecd7-4862-b75c-63d275b983e7,14a9b9c6-0a1e-4ca4-a0c0-86ba623c3a48,reviewer-b,f,a,,9189,v1,2026-05-19 20:23:50.808977+00,shadow_pairs:7bd4c7e5-127d-47f8-a7d1-ee729bb25fab,cluster-2,
596e3f4e-aae6-456f-a875-63707dff70ff,8ef444da-077e-40c6-b8a1-ff8ee404704b,reviewer-b,f,b,,12589,v1,2026-05-19 20:24:03.501657+00,shadow_pairs:0fc485cd-23a0-4193-9834-8f68db03603d,cluster-2,
84a20876-3691-4ad6-a8a9-7dae2bbfb325,3a7092cf-29dd-401c-966b-4fc0f51b678b,reviewer-b,f,a,,27300,v1,2026-05-19 20:24:30.878901+00,shadow_pairs:4ab9c7ab-5bda-4b6e-af3e-7d4acdc91cf5,cluster-2,
b72f1766-87d8-4c11-be21-974d08ae8f21,d7737ecd-b6de-4829-8318-9394d009b4a0,reviewer-b,t,b,,16136,v1,2026-05-19 20:24:47.098003+00,shadow_pairs:f74e0274-2730-43f5-9401-f5acdd5d0f0f,cluster-2,
bdbbfca8-79ad-483f-a27d-83001f87e786,3a710d5d-47fe-4bfa-a39b-00d72b5f6c47,reviewer-b,t,a,,12799,v1,2026-05-19 20:24:59.974619+00,shadow_pairs:c75811cc-feb6-47f7-9602-6c3bb2e3b1f1,cluster-2,
6d5df610-1c9f-4b56-9d2f-25ccf90760a8,68c2fefb-4f58-4d9b-8e84-4c9091fddca0,reviewer-b,t,b,,12528,v1,2026-05-19 20:25:12.598725+00,shadow_pairs:01a2cfef-be50-4d5f-836a-6422f1020722,cluster-2,
58fe2b45-da12-44f8-8ff0-efaa9fa847ab,c953f573-5918-45ad-907e-dc50f2ec96bb,reviewer-b,f,a,,16046,v1,2026-05-19 20:25:28.717789+00,shadow_pairs:1d98c7c5-3ff2-4ac8-a62a-7fb2de2baaa7,cluster-2,
5044cc1b-ac98-4043-ae9b-016940215cf0,9ae628cb-44b3-4b96-9e1e-147f4ccbea84,reviewer-b,t,a,,8154,v1,2026-05-19 20:25:36.986245+00,shadow_pairs:b017ab1f-6d45-4f9f-b3f0-dd286eb986de,cluster-3,
5d8cdef8-b893-499f-ab68-eba2955408f4,1960a15b-d2f1-4d87-80b6-d0259d119938,reviewer-b,t,a,,5469,v1,2026-05-19 20:25:42.593985+00,shadow_pairs:3989fd9d-bb35-48e9-b1d8-e58501f7da8e,cluster-3,
b0ddb0c7-6dfc-404a-9753-89b728a2915b,9330bb6c-6cbb-4c60-86e6-afbde280aa82,reviewer-b,f,a,,4579,v1,2026-05-19 20:25:47.267756+00,shadow_pairs:c9048dd8-241c-4760-b1f2-4757ddad6e45,cluster-3,
9ac9b8d1-7503-4163-84db-869f2235a491,76979973-8434-4058-acf4-496f8093c153,reviewer-b,t,b,,9630,v1,2026-05-19 20:25:56.962536+00,shadow_pairs:5fde8b4a-8e28-4484-9811-e994286c32db,cluster-3,
ffa1d491-dc6c-4270-b26c-1ac704b21bf3,e6527c71-a7dd-4bca-8312-c117a90af4f4,reviewer-b,f,a,,20849,v1,2026-05-19 20:26:17.804285+00,shadow_pairs:1c2cb879-ac4b-4f80-be01-558af98eb029,cluster-3,
4372e4a1-963a-4e8a-b62c-826a47fd7bcc,55f534ba-b894-49b3-81f6-a0d63618387d,reviewer-b,f,a,,9028,v1,2026-05-19 20:26:26.915691+00,shadow_pairs:bc5d5535-6e0f-49f2-93cf-c75380f710dd,cluster-1,
4a6dfb36-6313-4520-b095-51a7c66ddfd2,308437c6-e6c6-4dab-9006-2df301b133e5,reviewer-b,t,a,,9629,v1,2026-05-19 20:26:36.633515+00,shadow_pairs:26c4e68c-6d69-4715-a7c7-5a80e90c3267,cluster-1,
cf40eecd-efd6-43ec-89f8-ba1a76b8a95f,bfe1c5ce-70c0-442e-b941-43e9ca8ef5f5,reviewer-b,f,a,,9303,v1,2026-05-19 20:26:46.136013+00,shadow_pairs:1b481ea0-7cc6-42ac-9d4c-fad8f10acf67,cluster-0,
cc94b6d8-5aa4-4768-993f-4b5d5d30550b,de66875c-afe0-4ac2-acff-2cc962ffaf00,reviewer-b,f,b,,7581,v1,2026-05-19 20:26:53.798764+00,attention_check:b_wins_clear,attention,b
8e9f7ed5-1dbc-4b68-b36d-6baae2a67a79,f1d9509c-5268-4009-b120-b7d3de88d669,reviewer-b,f,a,,11366,v1,2026-05-19 20:27:05.249168+00,attention_check:a_wins_clear,attention,a
